tender_id,name,organization,location,submission_deadline,initiation_date,details_url,original_source_url,original_source_type,found_in_section
399609-2025,Poland – Iron sulphate – Sukcesywne dostawy koagulanta żelazowego PIX 113 dla PGE Energia Ciepła S.A. Oddział nr 1 w Krakowie,PGE Energia Ciepła S.A.,Poland,2025-07-22 11:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399609-2025,https://swpp2.gkpge.pl/app/demand/notice/public/current/list?USER_MENU_HOVER=currentNoticeListWszelkie,pge,General links
399733-2025,"Poland – Software package and information systems – Przedłużenie licencji na dostęp do aktualizacji, gwarancji i wsparcia technicznego na urządzenia do ochrony sieci Opolskiego Urzędu Wojewódzkiego w Opolu.",Opolski Urząd Wojewódzki w Opolu,Poland,2025-07-24 11:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399733-2025,https://platformazakupowa.pl/transakcja/1113598,platformazakupowa,General links
399593-2025,Poland – Overhaul and refurbishment work – MODERNIZACJA I WYPOSAŻENIE POMIESZCZEŃ PODODDZIAŁU DZIENNEGO ODDZIAŁU ONKOLOGII KLINICZNEJ,Szpital Specjalistyczny im. Ludwika Rydygiera w Krakowie Sp. z o.o.,Poland,2025-06-30 08:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399593-2025,https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-58b3edb9-33fc-4f4c-a2e0-1f7f6daf62b0,ezamowienia,General links
399867-2025,"Poland – Architectural, construction, engineering and inspection services – Wykonanie projektu budowlanego i wykonawczego budowy poradni specjalistycznych Uniwersyteckiego Dziecięcego Szpitala Klinicznego im. L. Zamenhofa w Białymstoku, wraz z uzyskaniem decyzji pozwolenia na budowę z niezbędnymi opiniami i uzgodnieniami oraz sprawowanie nadzoru autorskiego.",Uniwersytecki Dziecięcy Szpital Kliniczny im. L. Zamenhofa w Białymstoku,Poland,,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399867-2025,https://europa.eu/european-union/contact/institutions-bodies_en,unknown_platform_europa.eu,General page scan
399878-2025,Poland – Miscellaneous medical devices and products – Dostawa wyposażenia medycznego,Górnośląskie Centrum Medyczne im. prof. Leszka Gieca Śląskiego Uniwersytetu Medycznego w Katowicach,Poland,2025-07-03 12:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399878-2025,https://europa.eu/european-union/contact/institutions-bodies_en,unknown_platform_europa.eu,General page scan
400139-2025,Poland – Cargo handling services – Świadczenie usługi polegającej na wykonywaniu prac gospodarczych w obiektach Sądu Okręgowego w Warszawie.,Sąd Okręgowy w Warszawie,Poland,2025-07-21 12:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400139-2025,https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-3009d1c2-f37d-445a-8ae3-049078c005d9,ezamowienia,General links
401001-2025,Poland – Disposable non-chemical medical consumables and haematological consumables – Zakup i dostawa sprzętu jednorazowego niesterylnego,Szpital Specjalistyczny im. Stefana Żeromskiego SPZOZ w Krakowie,Poland,2025-07-09 09:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401001-2025,https://europa.eu/european-union/contact/institutions-bodies_en,unknown_platform_europa.eu,General page scan
401202-2025,Poland – Cleaning services – Usługa kompleksowego utrzymania czystości wewnątrz 4 obiektów Uniwersytetu Medycznego w Lublinie,Uniwersytet Medyczny w Lublinie,Poland,2025-06-30 11:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401202-2025,https://umlub.eb2b.com.pl/open-preview-auction.html/476071/usluga-kompleksowego-utrzymania-czystosci-wewnatrz-4-obiektow-uniwersytetu-medycznego-w-lublinie,eb2b,General links
401100-2025,Poland – Limestone – Dostawa sorbentów wapiennych do jednostek wytwórczych PGE Górnictwo i Energetyka Konwencjonalna S.A. w latach 2026-2027,PGE Górnictwo i Energetyka Konwencjonalna S.A.,Poland,2025-07-24 13:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401100-2025,https://swpp2.gkpge.pl,pge,General links
401117-2025,Poland – Construction work – Przebudowa budynku szpitala wraz ze zmianą sposobu użytkowania pomieszczeń na potrzeby apteki szpitalnej i pracowni żywienia pozajelitowego oraz wyposażeniem w urządzenia i umeblowaniem,Samodzielny Publiczny Szpital Kliniczny im. prof. W. Orłowskiego Centrum Medycznego Kształcenia Podyplomowego,Poland,2025-06-30 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401117-2025,https://szpitalorlowskiego.eb2b.com.pl,eb2b,General links
401378-2025,"Poland – Medical equipments – Dostawa urządzeń medycznych w ramach Projektu grantowego nr FENX.06.01-IP.03-0001/23 pod nazwą „Wsparcie podstawowej opieki zdrowotnej (POZ)”, realizowanego w ramach programu Fundusze Europejskie na Infrastrukturę, Klimat, Środowisko 2021-2027, współfinansowanego ze środków Europejskiego Funduszu Rozwoju Regionalnego",Dolnośląskie Centrum Medyczne Dolmed S.A.,Poland,2025-06-30 09:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401378-2025,https://europa.eu/european-union/contact/institutions-bodies_en,unknown_platform_europa.eu,General page scan
401698-2025,Poland – Various medicinal products – Leki - Środki kontrastowe,Szpital Wojewódzki w Poznaniu,Poland,2025-06-30 09:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401698-2025,https://europa.eu/european-union/contact/institutions-bodies_en,unknown_platform_europa.eu,General page scan
401294-2025,Poland – Spectrometers – „Dostawa aparatury badawczej: a) Kriostatu helowego z zamkniętym obiegiem helu b) Spektrofluorymetru UV-Vis c) Stanowiska do pomiarów czasów zaniku fluorescencji.”,Uniwersytet Wrocławski,Poland,,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401294-2025,https://platformazakupowa.pl/pn/uniwersytet_wroclawski/proceedings,platformazakupowa,General links
401348-2025,"Poland – Occupational clothing, special workwear and accessories – Dostawa umundurowania wyjściowego dla kadry kierowniczej z podziałem na części – buty damskie, męskie do munduru wyjściowego oraz buty oficerskie",MIASTO STOŁECZNE WARSZAWA - STRAŻ MIEJSKA MIASTA STOŁECZNEGO WARSZAWY,Poland,2025-07-21 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401348-2025,https://europa.eu/european-union/contact/institutions-bodies_en,unknown_platform_europa.eu,General page scan
400297-2025,Poland – Heat pumps – „Budowa instalacji OZE na terenie Gminy Łęczyca”,Gmina Łęczyca,Poland,2025-06-30 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400297-2025,https://platformazakupowa.pl/pn/ug_leczyca,platformazakupowa,General links
400362-2025,Poland – Pharmaceutical products – Dostawa leków do programów lekowych „Leczenie chorych na czerniaka skóry lub błon śluzowych” oraz „Leczenie chorych na raka wątrobowokomórkowego lub raka dróg żółciowych”,Szpital Wojewódzki im. Jana Pawła II w Bełchatowie,Poland,2025-07-21 11:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400362-2025,https://swb.ezamawiajacy.pl/servlet/HomeServlet,ezamawiajacy,General links
400550-2025,Poland – Health and social work services – Konkurs ofert nr 30/KŚZ/25 na wykonywanie świadczeń zdrowotnych w zakresie badań diagnostycznych rezonansu magnetycznego,Szpital Miejski w Rudzie Śląskiej Sp. z o.o.,Poland,,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400550-2025,https://europa.eu/european-union/contact/institutions-bodies_en,unknown_platform_europa.eu,General page scan
399720-2025,"Poland – Repair and maintenance services of machinery – Wykonywanie prac serwisowych, remontów planowych i nieplanowych oraz ulepszeń na urządzeniach uczestniczących w procesie przygotowania powietrza na instalacjach zamontowanych w PGE EC S.A. Oddział Wybrzeże w Gdańsku",PGE Energia Ciepła S.A.,Poland,2025-07-01 11:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399720-2025,https://swpp2.gkpge.pl/app/demand/notice/public/current/list?USER_MENU_HOVER=currentNoticeList,pge,General links
400341-2025,Poland – Medical equipments – „Zakup Toru wizyjnego artroskopowego dla Samodzielnego Zespołu Publicznych Zakładów Opieki Zdrowotnej im. Dzieci Warszawy w Dziekanowie Leśnym. „Zadanie zrealizowane ze środków Samorządu Województwa Mazowieckiego”.,Samodzielny Zespół Publicznych Zakładów Opieki Zdrowotnej im. Dzieci Warszawy w Dziekanowie Leśnym,Poland,2025-07-21 09:30,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400341-2025,https://europa.eu/european-union/contact/institutions-bodies_en,unknown_platform_europa.eu,General page scan
400692-2025,Poland – Furniture – Dostawa mebli biurowych do siedziby Sądu Okręgowego w Płocku i Sądu Rejonowego w Sierpcu,Sąd Okręgowy w Płocku,Poland,2025-07-21 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400692-2025,https://ezamowienia.gov.pl/mp-client/tenders/ocds-148610-6785afd0-bf08-46bc-8404-2eda11fe3a89,ezamowienia,General links
398919-2025,Poland – Hydrogen – Zakup paliwa wodorowego,Komunikacja Miejska Rybnik Sp. z o.o.,Poland,2025-06-30 09:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/398919-2025,https://platformazakupowa.pl/pn/km_rybnik,platformazakupowa,General links
401968-2025,Poland – Orthopaedic implants – Dostawa wszczepialnych wyrobów medycznych dla ZZOZ w Wadowicach,Zespół Zakładów Opieki Zdrowotnej,Poland,2025-07-24 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401968-2025,http://www.platformazakupowa.pl/pn/zzozwadowice,platformazakupowa,General links
399024-2025,"Poland – Antiseptics and disinfectants – Zakup i dostawy środków dezynfekcyjnych, preparatów do myjni - dezynfektorów, papierów higienicznych i dozowników.",Kliniczny Szpital Wojewódzki nr 2 im. Św. Jadwigi Królowej w Rzeszowie,Poland,2025-07-28 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399024-2025,https://portal.smartpzp.pl/pcmrzeszow,smartpzp,General links
401910-2025,"Poland – Supervision of building work – Weryfikacja dokumentacji projektowej budowlanej i wykonawczej, sprawowanie kompleksowego nadzoru inwestorskiego nad robotami budowlano-montażowymi oraz opracowanie rozliczenia rzeczowo-finansowego w ramach realizacji zadań: „Przebudowa składu paliw nr 4” oraz „Budowa i modernizacja składów MPS”",ZAKŁAD INWESTYCJI ORGANIZACJI TRAKTATU PÓŁNOCNOATLANTYCKIEGO,Poland,2025-07-30 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401910-2025,https://platformazakupowa.pl/pn/ziotp,platformazakupowa,General links
399129-2025,Poland – Medical equipments – Dostawa aparatury medycznej dla potrzeb Bloku Operacyjnego - 2 zadania,Uniwersytecki Szpital Kliniczny nr 4 w Lublinie,Poland,,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399129-2025,https://usk4lublin.eb2b.com.pl,eb2b,General links
399486-2025,Poland – Network equipment – Dostawa urządzeń teletransmisyjnych,Centrum Zasobów Cyberprzestrzeni Sił Zbrojnych,Poland,2025-07-08 09:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399486-2025,https://platformazakupowa.pl/transakcja/1102513,platformazakupowa,General links
399511-2025,Poland – Kerosene jet type fuels – Sukcesywne dostawy paliwa lotniczego JET A-1 do statków powietrznych.,Komenda Wojewódzka Policji we Wrocławiu,Poland,2025-07-23 09:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399511-2025,https://platformazakupowa.pl/pn/kwp_wroclaw,platformazakupowa,General links
399199-2025,Poland – Dressings – Sukcesywna dostawa materiałów opatrunkowych.,Centrum Leczenia Oparzeń im. dr Stanisława Sakiela w Siemianowicach Śląskich,Poland,2025-07-24 08:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399199-2025,https://clo.ezamawiajacy.pl/pn/CLO/demand/217254/notice/public/details,ezamawiajacy,General links
399026-2025,"Poland – Information and promotion products – Wykonanie i dostawa materiałów promocyjnych oznakowanych logo MZ, NSO, NPChUK, PDŻ na potrzeby działań edukacyjno-informacyjno-promocyjnych Pakiet: DZIECI",MINISTERSTWO ZDROWIA,Poland,2025-06-26 11:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399026-2025,https://zzpprzymz.ezamawiajacy.pl/servlet/HomeServlet,ezamawiajacy,Warunki udzielenia zamówienia
399441-2025,Poland – Digital mapping services – Opracowanie i weryfikacja integracji zasobów pzgik – skanowanie materiałów pzgik (ZAKRES III),Główny Urząd Geodezji i Kartografii,Poland,2025-07-24 12:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399441-2025,https://gugik.ezamawiajacy.pl,ezamawiajacy,General links
399112-2025,"Poland – Medical consumables – Dostawa wyrobów medycznych, PN-236/24/JP",Narodowy Instytut Onkologii im. Marii Skłodowskiej-Curie - Państwowy Instytut Badawczy,Poland,,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399112-2025,https://nio.ezamawiajacy.pl,ezamawiajacy,General links
401177-2025,Poland – Occupational clothing – Dostawa umundurowania dla motorniczych (4 części),Tramwaje Warszawskie sp. z o.o.,Poland,2025-07-18 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401177-2025,https://tw.ezamawiajacy.pl,ezamawiajacy,General links
401293-2025,Poland – Pharmaceutical products – Sukcesywna dostawa produktów leczniczych na potrzeby Powiatowego Centrum Zdrowia Sp. z o.o. w Kartuzach,Powiatowe Centrum Zdrowia Sp. z o.o.,Poland,,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401293-2025,https://pczkartuzy.ezamawiajacy.pl,ezamawiajacy,General links
401553-2025,"Poland – Laboratory, optical and precision equipments (excl. glasses) – EZ.28.96.2025 Postępowanie o udzielenie zamówienia publicznego na dostawę wyposażenie produkcji radiofarmaceutyków w Pracowni PET dla Wojewódzkiego Wielospecjalistycznego Centrum Onkologii i Traumatologii im. M. Kopernika w Łodzi prowadzonego w trybie przetargu nieograniczonego o wartości powyżej 10 000 000 Euro.",Wojewódzkie Wielospecjalistyczne Centrum Onkologii i Traumatologii im. M. Kopernika w Łodzi,Poland,2025-07-01 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401553-2025,https://ezamowienia.gov.pl,ezamowienia,General links
401566-2025,Poland – Meal-preparation services – Usługa świadczenia kompleksowej usługi żywienia pacjentów Wojewódzkiego Szpitala Specjalistycznego im. Janusza Korczaka w Słupsku Sp. z o.o. wraz z dzierżawą i modernizacją pomieszczeń kuchni szpitalnej - 39/PN/2025,Wojewódzki Szpital Specjalistyczny im. Janusza Korczaka w Słupsku Sp. z o. o.,Poland,2025-06-25 09:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401566-2025,https://platformazakupowa.pl/pn/szpital.slupsk,platformazakupowa,General links
401663-2025,"Poland – Printing and delivery services – Usługi druku, oprawy i dostawy publikacji książkowych i nutowych (NOWOŚCI)",Polskie Wydawnictwo Muzyczne,Poland,,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401663-2025,https://platformazakupowa.pl/pn/pwm,platformazakupowa,General links
401693-2025,Poland – Vocational training services – Przeprowadzenie szkoleń zawodowych w ramach projektu pn. „Transformacja zawodowa w ZS4 w Rudzie Śląskiej”,Miasto Ruda Śląska,Poland,2025-07-21 11:30,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401693-2025,https://europa.eu/european-union/contact/institutions-bodies_en,unknown_platform_europa.eu,General page scan
401964-2025,"Poland – Sewage, refuse, cleaning and environmental services – Odbiór, transport i zagospodarowanie odpadów komunalnych powstałych i zebranych na wszystkich nieruchomościach, na których zamieszkują mieszkańcy, położonych w granicach administracyjnych Gminy Miasto Marki w podziale na części",Gmina Miasto Marki,Poland,2025-07-10 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401964-2025,https://europa.eu/european-union/contact/institutions-bodies_en,unknown_platform_europa.eu,General page scan
401820-2025,Poland – Engineering design services for the construction of civil engineering works – Wykonanie kompletnej dokumentacji projektowej wraz z uzyskaniem wszystkich decyzji administracyjnych niezbędnych do przeprowadzania robót budowlanych realizowanych w Nadleśnictwie Gromnik w ramach projektu kompleksowy projekt adaptacji lasów i leśnictwa do zmian klimatu – mała retencja oraz przeciwdziałanie erozji wodnej na terenach górskich – kontynuacja MRG 3,Skarb Państwa Państwowe Gospodarstwo Leśne Lasy Państwowe Nadleśnictwo Gromnik,Poland,2025-07-21 09:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401820-2025,https://platformazakupowa.pl/transakcja/1130118,platformazakupowa,General links
399796-2025,Poland – Medical consumables – DOSTAWA WYROBÓW MEDYCZNYCH CZ IV - NICI CHIRURGICZNE I STAPLERY,Samodzielny Publiczny Wojewódzki Szpital Chirurgii Urazowej im. dr. Janusza Daaba w Piekarach Śląskich,Poland,2025-07-02 11:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399796-2025,https://urazowka.ezamawiajacy.pl,ezamawiajacy,General links
399813-2025,"Poland – Parts for aircraft, spacecraft and helicopters – Zawarcie umowy ramowej na dostawę tśm oraz materiałów eksploatacyjnych i jednorazowych do śmigłowców",Skarb Państwa - Jednostka Wojskowa Nr 2305,Poland,2025-07-23 09:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399813-2025,https://platformazakupowa.pl/pn/grom,platformazakupowa,General links
399927-2025,Poland – Research and experimental development services – Monitoring obszarów zurbanizowanych (detekcja zabudowy),Polska Agencja Kosmiczna,Poland,2025-07-23 09:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399927-2025,https://platformazakupowa.pl/pn/polsa,platformazakupowa,General links
400004-2025,"Poland – Refuse and waste related services – Odbiór, załadunek, transport i zagospodarowanie odpadów komunalnych pochodzących ze stacjonarnego Punktu Selektywnej Zbiórki Odpadów Komunalnych usytuowanego na terenie gminy Śrem",gmina Śrem,Poland,2025-07-22 09:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400004-2025,https://europa.eu/european-union/contact/institutions-bodies_en,unknown_platform_europa.eu,General page scan
400016-2025,"Poland – Technical control services – Kontrole okresowe budowli hydrotechnicznych na terenie działania Zarządu Zlewni w Białystoku, Obiektu Hydrotechnicznego Siemianówka i Obiektu Hydrotechnicznego Jazy Narwiańskie",Państwowe Gospodarstwo Wodne Wody Polskie,Poland,2025-07-21 11:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400016-2025,https://europa.eu/european-union/contact/institutions-bodies_en,unknown_platform_europa.eu,General page scan
400155-2025,Poland – Central processing unit (CPU) or processors – Rozbudowa posiadanych przez Zamawiającego serwerów firmy DELL o dodatkowe procesory i pamięć operacyjną RAM,Województwo Lubelskie - Lubelskie Centrum Innowacji i Technologii,Poland,2025-07-18 11:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400155-2025,https://lcit.ezamawiajacy.pl/4,ezamawiajacy,General links
400477-2025,Poland – Passenger cars – Dostawa samochodów w policyjnej oznakowanej wersji Patrolowy o nadwoziu typu furgon,Komenda Wojewódzka Policji w Krakowie,Poland,2025-07-04 11:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400477-2025,https://malopolska-policja.ezamawiajacy.pl,ezamawiajacy,General links
400393-2025,"Poland – Software package and information systems – Modernizacja i utrzymanie platformy teleinformatycznej SG, zakup licencji, oprogramowania oraz praw do aktualizacji oprogramowania",Komenda Główna Straży Granicznej,Poland,2025-07-21 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400393-2025,https://kgsg.ezamawiajacy.pl,ezamawiajacy,General links
400567-2025,Poland – Advertising services – Promocja Województwa Lubuskiego poprzez przewoźników lotniczych operujących z lotniska Zielona Góra/Babimost do lotniska im. F. Chopina w Warszawie i innych międzynarodowych portów lotniczych na trasie między Portem Lotniczym Zielona Góra – Babimost (IEG) a Portem Lotniczym Hurghada (HRG),Urząd Marszałkowski Województwa Lubuskiego w Zielonej Górze,Poland,,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400567-2025,https://przetargiumwl.ezamawiajacy.pl/servlet/HomeServlet,ezamawiajacy,General links
401878-2025,"Poland – Car park services – Usługa przechowywania pojazdów zabezpieczonych przez Policję do dalszego postępowania procesowego na terenie podległym KPP: Góra, Jawor, Kamienna Góra, Lubań, Lwówek Śląski, Oleśnica, Polkowice, Złotoryja i KMP Jelenia Góra.",Komenda Wojewódzka Policji we Wrocławiu,Poland,2025-07-22 09:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401878-2025,https://platformazakupowa.pl/pn/kwp_wroclaw,platformazakupowa,General links
400524-2025,Poland – Desktop computer – PROJEKT MEDYCYNY CYFROWEJ - DOSTAWA SPRZĘTU ORAZ ZAKUP SPRZĘTU INFORMATYCZNEGO Z INNYCH PROJEKTÓW,4. Wojskowy Szpital Kliniczny z Polikliniką Samodzielny Publiczny Zakład Opieki Zdrowotnej we Wrocławiu,Poland,2025-07-04 11:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400524-2025,https://platformazakupowa.pl/pn/4wsk/proceedings,platformazakupowa,General links
400159-2025,Poland – Pharmaceutical products – DOSTAWY PRODUKTÓW LECZNICZYCH I,Wojewódzki Szpital im. Św. Ojca Pio w Przemyślu,Poland,2025-07-02 09:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400159-2025,https://portal.smartpzp.pl/pcmrzeszow/public/postepowanie?postepowanie=80556753,smartpzp,General links
400228-2025,Poland – Refuse and waste related services – Zagospodarowanie odpadów komunalnych z nieruchomości zamieszkałych z terenu gminy Wisznia Mała.,Gmina Wisznia Mała,Poland,2025-06-27 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400228-2025,https://europa.eu/european-union/contact/institutions-bodies_en,unknown_platform_europa.eu,General page scan
400299-2025,"Poland – Overhaul and refurbishment work – POPRAWA DOSTĘPU DO OPIEKI PSYCHIATRYCZNEJ W MODELU ŚRODOWISKOWYM DLA DZIECI, MŁODZIEŻY I DOROSŁYCH",Szpital Specjalistyczny im. Ludwika Rydygiera w Krakowie Sp. z o.o.,Poland,2025-06-30 08:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400299-2025,https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-9482d62d-3b36-43d7-9a0a-14d6265fc403,ezamowienia,General links
400258-2025,"Poland – Archaeological services – Wykonanie archeologicznych ratowniczych badań wykopaliskowych wraz z opracowaniem wyników badań, uzyskaniem zgód właścicieli nieruchomości i wypłatą odszkodowań w związku z budową drogi krajowej nr 69 na odcinku Lubiatowo – droga ekspresowa S6, Zadanie 1: Lubiatowo – droga wojewódzka nr 213","Generalna Dyrekcja Dróg Krajowych i Autostrad ul. Wronia 53, 00-874 Warszawa",Poland,2025-07-28 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400258-2025,https://gddkia.eb2b.com.pl,eb2b,General links
400349-2025,"Poland – Clip, suture, ligature supplies – Dostawa materiałów szewnych, klipsów naczyniowych oraz wosku kostnego",Narodowy Instytut Kardiologii Stefana Kardynała Wyszyńskiego - Państwowy Instytut Badawczy,Poland,,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400349-2025,https://ikard.ezamawiajacy.pl,ezamawiajacy,General links
